Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/07/02,43827.78002042456,43827.78022569109,4.689298657467589e-05,-1.4551915228366852e-11,5650.836171425837,52.08759687774727,38176.94384899872,43417.0,44238.0,43418.0,44239.0,,,,,
2020/07/03,43827.780058597054,43827.78022569109,3.8172496715560555e-05,0.0,5702.852798272698,52.01662684686107,38124.92726032436,43418.0,44238.0,43418.0,44238.0,,,,,
2020/07/04,43827.7800896708,43827.780225691095,3.107374504907057e-05,7.275957614183426e-12,5754.798551775605,51.94575350290688,38072.9815378952,43418.0,44238.0,43418.0,44239.0,,,,,
2020/07/05,43827.78011496599,43827.7802256911,2.529519406380132e-05,7.275957614183426e-12,5806.67352849175,51.874976716145284,38021.10658647424,43417.0,44239.0,43419.0,44239.0,,,,,
2020/07/06,43827.78013555754,43827.78022569108,2.0591549400705844e-05,-2.1827872842550278e-11,5858.477824848391,51.80429635664041,37969.30231070915,43418.0,44238.0,43418.0,44238.0,,,,,
2020/07/07,43827.78015231869,43827.7802256911,1.6761150618549436e-05,2.1827872842550278e-11,5910.211537142735,51.733712294344514,37917.56861517596,43418.0,44239.0,43418.0,44239.0,,,,,
2020/07/08,43827.780165962824,43827.78022569112,1.3644130376633257e-05,2.1827872842550278e-11,5961.874761541846,51.66322439911073,37865.90540442098,43418.0,44238.0,43417.0,44238.0,,,,,
2020/07/09,43827.78017706951,43827.78022569112,1.1106683814432472e-05,0.0,6013.467594082638,51.59283254079219,37814.312582986866,43418.0,44239.0,43419.0,44239.0,,,,,
2020/07/10,43827.78018611143,43827.7802256911,9.041919838637114e-06,-2.1827872842550278e-11,6064.990130671888,51.522536589250194,37762.79005543954,43418.0,44239.0,43418.0,44239.0,,,,,
2020/07/11,43827.78019347198,43827.78022569111,7.360555173363537e-06,7.275957614183426e-12,6116.442467086285,51.452336414396996,37711.3377263857,43419.0,44239.0,43418.0,44239.0,,,,,
2020/07/12,43827.780199463974,43827.780225691116,5.991991201881319e-06,7.275957614183426e-12,6167.8246989724985,51.38223188621305,37659.95550049147,43417.0,44239.0,43419.0,44238.0,,,,,
2020/07/13,43827.78020434083,43827.78022569112,4.876856110058725e-06,7.275957614183426e-12,6219.136921847243,51.31222287474429,37608.64328249359,43418.0,44239.0,43418.0,44239.0,,,,,
2020/07/14,43827.78020831124,43827.78022569111,3.9704100345261395e-06,-1.4551915228366852e-11,6270.379231097429,51.242309250185826,37557.40097721381,43419.0,44238.0,43418.0,44239.0,,,,,
2020/07/15,43827.78021154327,43827.7802256911,3.232031303923577e-06,-7.275957614183426e-12,6321.551721980245,51.17249088281642,37506.22848956303,43419.0,44238.0,43417.0,44239.0,,,,,
2020/07/16,43827.78021417537,43827.78022569111,2.632099494803697e-06,7.275957614183426e-12,6372.6544896233,51.102767643054904,37455.12572455207,43418.0,44238.02500000002,43418.0,44239.0,,,,,
2020/07/17,43827.780216317486,43827.7802256911,2.1421146811917424e-06,-7.275957614183426e-12,6423.687629024746,51.033139401445624,37404.09258729274,43418.0,44238.0,43418.0,44239.0,,,,,
2020/07/18,43827.78021806119,43827.78022569111,1.7437050701119006e-06,7.275957614183426e-12,6474.651235053462,50.96360602871664,37353.12898300773,43417.0,44238.0,43418.0,44238.0,,,,,
2020/07/19,43827.780219479864,43827.7802256911,1.4186734915710986e-06,-7.275957614183426e-12,6525.545402449131,50.894167395668774,37302.23481703073,43418.0,44239.0,43418.0,44238.0,,,,,
